SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
OB(O)C1=CC=CC=C1,122.05390986399999,-9.3597,1.0289,4.1654,5.1943,0.19251872244575785,0.02012,-0.076645,6.0,-0.077409,-408.311950228571,1.34,54.134,-0.08009947,-0.11353166,-0.163605244,-0.02207963,-0.648973,-0.163383,22.610488622567747,1.5646606288384108
COC1=CC=C(C=C1)B(O)O,152.064474548,-8.4909,1.3774,3.55675,4.93415,0.20266915274160696,-0.00491,-0.090877,6.0,-0.094345,-522.852737873199,1.38467,64.288,-0.09719096,-0.13121058,-0.3136760511,-0.03802687,-0.650185,-0.191426,22.53433278014769,1.5579328240267276
CC1=CC=C(C=C1)B(O)O,136.06955992800002,-9.198,1.1038,4.0471,5.1509,0.1941408297579064,0.046518,-0.085384,6.0,-0.084133,-447.62995275949,3.74515,51.704,-0.08676145,0.034414,-0.335390305,-0.03078935,-0.650869,-0.180733,22.556469487542184,1.5704368397133548
OB(O)C1=CC=C(F)C=C1,140.044488052,-9.3217,1.0297,4.146,5.1757,0.19321058021137238,0.012969,-0.081556,6.0,-0.08369,-507.571770389249,1.5983,59.23,-0.08600773,-0.12184164,-0.2628125549,-0.02762842,-0.637367,-0.176018,22.588699976610272,1.563136181506674
OB(O)C1=CC=C(Cl)C=C1,156.014937512,-9.2482,0.7301,4.25905,4.98915,0.20043494382810698,0.019518,-0.075284,6.0,-0.076716,-867.92582409988,1.80125,56.232,-0.07925561,-0.11414174,-0.1643603567,-0.02114377,-0.634213,-0.165331,22.575891315727922,1.5647053664296862
OB(O)C1=CC=C(C=C1)C(F)(F)F,190.041294492,-9.6389,0.5474,4.54575,5.09315,0.19634214582331172,-0.056262,-0.061095,6.0,-0.066397,-745.425479933786,5.47738,49.456,-0.06850389,-0.11771801,-0.07466947,-0.00920836,-0.630613,-0.141603,22.661932102959355,1.5630369269563045
CC1=C(C=CC=C1)B(O)O,136.06955992800002,-8.9749,1.1756,3.89965,5.07525,0.19703462883601794,-0.037364,-0.048118,6.0,-0.081283,-447.63087001894,1.04723,51.188,-0.08315988,-0.00058824,-0.3663737531,-0.02364484,-0.656489,-0.172339,26.37762716772663,1.5673781856542568
OB(O)C1=C2C=CC=CC2=CC=C1,172.069559928,-8.18,0.446,3.867,4.313,0.2318571759795966,0.048816,-0.031365,6.0,-0.072861,-561.957944612679,1.25937,50.224,-0.07460044,-0.12087817,-0.359436764,-0.01486054,-0.646774,-0.157129,25.982716661283316,1.5690639231719217
COC1=CC=CC(=C1)B(O)O,152.064474548,-8.6641,1.0831,3.7904999999999998,4.8736,0.20518713066316482,0.1275,-0.078733,6.0,-0.074625,-522.847758142342,4.57976,45.241,-0.07662389,0.08198232,-0.1635844022,-0.02070978,-0.636066,-0.159485,22.642719111635834,1.572673358862242
OB(O)C1=CC2=CC=CC=C2C=C1,172.069559928,-8.2685,0.3679,3.9503,4.3182,0.2315779723032745,0.064851,-0.0732,6.0,-0.077266,-561.960859449476,1.44812,55.328,-0.07974821,-0.05636253,-0.1467524708,-0.02143346,-0.647889,-0.162266,22.649889177238453,1.5637421601971617
OB(O)C1=CC=C(C=O)C=C1,150.048824484,-9.5023,-0.1428,4.82255,4.67975,0.21368662855921788,-0.051865,-0.055586,6.0,-0.062155,-521.646208135987,5.79945,46.191,-0.06534604,-0.11362964,-0.0820504642,-0.00623668,-0.628793,-0.135528,22.699870799594578,1.564249845125608
COC1=CC=CC=C1B(O)O,152.064474548,-8.8327,0.9243,3.9542000000000006,4.878500000000001,0.20498103925386899,-0.08216,-0.054688,6.0,-0.089869,-522.851636928772,4.79783,65.304,-0.09310387,-0.13462101,-0.4487505107,-0.03373973,-0.597721,-0.202589,24.35740897497299,1.583356130306534
OB(O)C1=CC=NC=C1,123.04915883199999,-9.7037,0.4611,4.6213,5.0824,0.1967574374311349,-0.055714,-0.062949,6.0,-0.057254,-424.349055723745,2.38229,45.981,-0.06090798,-0.08991607,0.229260908,-0.00165285,-0.622261,-0.130256,22.430680084203022,1.5705150038782132
OB(O)C1=CC=CN=C1,123.04915883199999,-9.7246,0.7209,4.50185,5.2227500000000004,0.19147001100952563,0.00276,-0.08673,6.0,-0.081362,-424.350910873476,0.99314,60.866,-0.08601867,-0.11086777,-0.6085063103,-0.02272824,-0.647742,-0.193613,22.464859717318422,1.5657021778024973
OB(O)C1=CC=CS1,128.0103308,-9.045,0.8239,4.11055,4.93445,0.2026568310551328,-0.099036,-0.287112,6.0,-0.09223,-729.087118922674,1.00111,45.403,-0.10286512,-0.13086779,-0.3223590454,-0.02517582,-0.823221,-0.301343,21.75850383702928,1.5485333027732673
OB(O)C1=CC=C(C=C1)C#N,147.049158832,-9.7891,-0.1987,4.9939,4.7951999999999995,0.2085418752085419,0.031962,-0.059243,6.0,-0.061639,-500.558221421874,4.58729,49.297,-0.06422166,-0.09905715,-0.1509982633,-0.00687357,-0.621594,-0.143235,22.614386910662372,1.5696255739524074
CC1=CC=CC(=C1)B(O)O,136.06955992800002,-9.2263,1.0389,4.0937,5.1326,0.19483302809492264,0.102069,-0.079501,6.0,-0.078996,-447.629790623586,3.50834,47.652,-0.08132798,-0.00077575,-0.2453272887,-0.02554512,-0.650126,-0.169425,22.638681598966397,1.5718404668106984
OB(O)C1=CSC=C1,128.0103308,-9.0298,1.1471,3.94135,5.08845,0.1965234992974285,-0.060875,-0.140513,6.0,-0.096876,-729.084915735575,1.49474,52.248,-0.10325136,-0.13365841,-0.1691596185,-0.04096026,-0.619635,-0.193505,21.71423042224029,1.5556200036954206
OB(O)C1=CC=C(Br)C=C1,199.964421932,-8.9437,0.8863,4.0287,4.915,0.2034587995930824,-0.050968,-0.071231,6.0,-0.07602,-2981.92640296526,4.30217,55.168,-0.07887151,-0.12774347,-0.0573844835,-0.01897569,-0.644284,-0.157685,22.631998819375607,1.5593067370634373
OB(O)C1=CC=CC(Cl)=C1,156.014937512,-8.9885,0.9046,4.04195,4.94655,0.20216110218232908,-0.035089,-0.066614,6.0,-0.070496,-867.922488047821,3.79343,51.334,-0.07369973,-0.11549148,-0.0863976472,-0.0140207,-0.637377,-0.147918,22.70557900716171,1.5616586839892301
CC(C)(C)C1=CC=C(C=C1)B(O)O,178.11651012,-9.184,1.1117,4.036149999999999,5.14785,0.19425585438581155,0.084665,-0.085141,6.0,-0.084233,-565.583004789973,3.83243,51.72,-0.08685515,0.03236759,-0.341234103,-0.0308898,-0.654127,-0.179715,22.515328625686376,1.570310669921876
COC(=O)C1=CC=C(C=C1)B(O)O,180.059389168,-9.776,0.0349,4.87055,4.90545,0.2038548960849667,0.079575,-0.067894,6.0,-0.066877,-636.218446746797,2.88469,42.247,-0.06911988,0.13275976,-0.2693103572,-0.01375785,-0.639701,-0.155127,22.606729559047928,1.5746245128624916
OB(O)C1=CC=C(C=C1)C1=CC=CC=C1,198.085209992,-8.5638,0.5338,4.015000000000001,4.5488,0.21983819908547308,0.032492,-0.076335,6.0,-0.079403,-639.381063237541,1.4069,55.843,-0.08211706,-0.0761474,-0.17173902,-0.02379401,-0.648278,-0.166359,22.55549491551853,1.5629965165318176
CC(=O)C1=CC=C(C=C1)B(O)O,164.064474548,-9.7696,-0.1814,4.9755,4.7941,0.2085897248701529,0.08549,-0.067561,6.0,-0.066774,-560.972661456817,2.6531,42.103,-0.06914058,0.14022003,-0.2360701002,-0.01386863,-0.635914,-0.155093,22.60046445318156,1.5751398932484793
OB(O)C1=CC=CC(F)=C1,140.044488052,-9.2911,0.7991,4.246,5.0451,0.1982121266179065,0.041267,-0.068089,6.0,-0.069211,-507.570915752374,0.69749,49.695,-0.07144098,0.00949484,-0.0619248583,-0.01332986,-0.624129,-0.148494,22.634852923159173,1.5662472648916537
OB(O)C1=C(F)C=CC=C1,140.044488052,-9.4098,0.8167,4.29655,5.113250000000001,0.1955703319806385,-0.171178,-0.058013,6.0,-0.087796,-507.575962077201,1.27647,67.467,-0.09061177,-0.12314521,-0.3968702451,-0.02856695,-0.598978,-0.199498,23.856896628537697,1.5693911702537275
OB(O)C1=CC=CO1,112.03317442,-8.8471,1.3266,3.7602499999999996,5.08685,0.19658531311125746,0.105303,-0.154732,6.0,-0.018106,-406.104253889597,1.22916,29.527,-0.02567455,-0.03876392,-0.053199071,0.06308995,-0.231069,-0.004325,20.240886359333057,1.545381909860137
