SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
OB(O)C1=CC=CC=C1,122.05390986399999,-9.3597,1.0289,4.1654,5.1943,0.19251872244575785,0.020079,-0.076644,6.0,-0.07741,-408.311950043278,1.33996,54.132,-0.08023123,-0.11365266,-0.1653291182,-0.02221,-0.644726,-0.163526,22.611950480603234,1.5646518930929247
COC1=CC=C(C=C1)B(O)O,152.064474548,-8.6665,1.3,3.6832499999999997,4.98325,0.20067225204434858,0.051512,-0.094779,6.0,-0.094711,-522.848557288666,4.23793,58.711,-0.09731249,0.03761196,-0.4137230355,-0.04078655,-0.653935,-0.199366,22.518670015481774,1.5672332679273409
CC1=CC=C(C=C1)B(O)O,136.06955992800002,-9.198,1.1038,4.0471,5.1509,0.1941408297579064,0.046497,-0.085385,6.0,-0.084132,-447.629953097606,3.74518,51.703,-0.08694261,0.03398809,-0.3356287532,-0.03097346,-0.651774,-0.180938,22.5567479366918,1.5704535484407829
OB(O)C1=CC=C(F)C=C1,140.044488052,-9.3216,1.0291,4.14625,5.17535,0.19322364670988437,0.013021,-0.081545,6.0,-0.0837,-507.571769190758,1.59826,59.238,-0.08601438,-0.12192694,-0.2651958508,-0.02761752,-0.640468,-0.176035,22.588212690598443,1.5630371434003754
OB(O)C1=CC=C(Cl)C=C1,156.014937512,-9.2482,0.7299,4.25915,4.989050000000001,0.2004389613253024,0.019438,-0.075277,6.0,-0.076717,-867.925822785024,1.80128,56.229,-0.07917326,-0.11405381,-0.1645830298,-0.021056,-0.634671,-0.165265,22.574429457692435,1.564673715580385
OB(O)C1=CC=C(C=C1)C(F)(F)F,190.041294492,-9.6389,0.5475,4.5457,5.0931999999999995,0.1963402183303228,-0.056291,-0.061096,6.0,-0.066399,-745.425479366059,5.47759,49.456,-0.06857115,-0.11773205,-0.0750435123,-0.00927451,-0.635153,-0.141685,22.660679081786085,1.5630301315236816
CC1=C(C=CC=C1)B(O)O,136.06955992800002,-8.9749,1.1756,3.89965,5.07525,0.19703462883601794,-0.036887,-0.048117,6.0,-0.081282,-447.630869784638,1.04721,51.186,-0.08320918,-0.00078609,-0.3661941241,-0.0236947,-0.656473,-0.172389,26.37769678001403,1.567380769841745
OB(O)C1=C2C=CC=CC2=CC=C1,172.069559928,-8.18,0.446,3.867,4.313,0.2318571759795966,0.04877,-0.031367,6.0,-0.072863,-561.957944379095,1.25942,50.224,-0.07456073,-0.12070656,-0.3593896227,-0.01481837,-0.647365,-0.157085,25.982855885858125,1.5690491229225192
COC1=CC=CC(=C1)B(O)O,152.064474548,-8.6641,1.083,3.7905499999999996,4.87355,0.20518923577269138,0.127459,-0.078731,6.0,-0.074624,-522.84775802344,4.57979,45.25,-0.07667816,0.08209684,-0.1698806792,-0.02075887,-0.637429,-0.159559,22.642092601049196,1.5726464819059511
OB(O)C1=CC2=CC=CC=C2C=C1,172.069559928,-8.2685,0.368,3.9502499999999996,4.31825,0.23157529091645923,0.064592,-0.073188,6.0,-0.077273,-561.960857501966,1.44815,55.303,-0.07974678,-0.05676419,-0.1465556453,-0.02142777,-0.64723,-0.162252,22.651002973836917,1.5637148736515192
OB(O)C1=CC=C(C=O)C=C1,150.048824484,-9.5024,-0.1429,4.822649999999999,4.67975,0.21368662855921788,-0.051846,-0.055591,6.0,-0.062153,-521.646207738906,5.79845,46.196,-0.06533901,-0.11360614,-0.0802482902,-0.00622852,-0.649967,-0.135514,22.700010024169387,1.5642407390556545
COC1=CC=CC=C1B(O)O,152.064474548,-8.6489,1.1174,3.7657499999999997,4.88315,0.20478584520237963,-0.152526,-0.05337,6.0,-0.090816,-522.857662131241,3.02878,66.403,-0.09423013,-0.13304026,-0.4579763314,-0.03172379,-0.616958,-0.196577,24.461827406079102,1.5689859335166918
OB(O)C1=CC=NC=C1,123.04915883199999,-9.703,0.4626,4.6202,5.0828,0.19674195325411192,-0.055697,-0.062915,6.0,-0.057235,-424.349058503537,2.38101,45.938,-0.06092829,-0.08970877,0.2351606722,-0.00168202,-0.624082,-0.130266,22.4320027176637,1.5705683077561898
OB(O)C1=CC=CN=C1,123.04915883199999,-9.7245,0.721,4.50175,5.2227500000000004,0.19147001100952563,0.002739,-0.086727,6.0,-0.081361,-424.350910642152,0.99375,60.862,-0.0861976,-0.11107323,-0.6100504025,-0.02290734,-0.648199,-0.193811,22.46569506476727,1.5657029632337227
OB(O)C1=CC=CS1,128.0103308,-8.7727,1.0594,3.85665,4.91605,0.2034153436193692,-0.110995,-0.283227,6.0,-0.09333,-729.083148730224,2.16272,45.582,-0.10412792,-0.14469927,-0.1958067544,-0.02431009,-0.825475,-0.297722,21.79177851040843,1.542662141100566
OB(O)C1=CC=C(C=C1)C#N,147.049158832,-9.786,-0.1753,4.98065,4.80535,0.20810138699574435,0.026418,-0.058531,6.0,-0.061359,-500.55820587842,4.59077,48.074,-0.06387326,-0.00129501,-0.1235533795,-0.00646082,-0.62348,-0.14256,22.62740440840694,1.568959109545629
CC1=CC=CC(=C1)B(O)O,136.06955992800002,-9.2264,1.0402,4.0931,5.1333,0.19480645978220637,0.102114,-0.079506,6.0,-0.078991,-447.629789631952,3.5068,47.652,-0.08148525,-0.00207188,-0.2455242809,-0.02570516,-0.649684,-0.169595,22.638960048116015,1.5718559150635143
OB(O)C1=CSC=C1,128.0103308,-9.0297,1.1468,3.94145,5.08825,0.1965312238981968,-0.060848,-0.140523,6.0,-0.096875,-729.084911336402,1.49518,52.255,-0.10323161,-0.13363908,-0.1601930279,-0.04093025,-0.613372,-0.193488,21.71478732053952,1.5555593200359028
OB(O)C1=CC=C(Br)C=C1,199.964421932,-8.9439,0.8857,4.0291,4.9148,0.2034670790266135,-0.05099,-0.07122,6.0,-0.076025,-2981.926398683644,4.30139,55.175,-0.07892147,-0.12779423,-0.0574426368,-0.01901065,-0.644468,-0.157782,22.631302696501564,1.559218707944697
OB(O)C1=CC=CC(Cl)=C1,156.014937512,-8.988,0.905,4.0415,4.9464999999999995,0.20216314565854646,-0.035147,-0.066631,6.0,-0.070497,-867.922495016228,3.79248,51.339,-0.07363364,-0.11539799,-0.086353104,-0.0139613,-0.637992,-0.147826,22.706483966897963,1.5616934342156303
CC(C)(C)C1=CC=C(C=C1)B(O)O,178.11651012,-9.184,1.1116,4.0362,5.147799999999999,0.19425774117098568,0.084478,-0.085141,6.0,-0.084233,-565.583004691106,3.83246,51.722,-0.08685237,0.03231498,-0.341024798,-0.03088679,-0.653415,-0.179714,22.515467850261185,1.5703094266816227
COC(=O)C1=CC=C(C=C1)B(O)O,180.059389168,-9.7761,0.0349,4.8706,4.9055,0.2038528182652125,0.079604,-0.067899,6.0,-0.066876,-636.218448108698,2.88512,42.25,-0.06912878,0.13352629,-0.269903195,-0.01376808,-0.639853,-0.15516,22.606520722185714,1.5746270322252525
OB(O)C1=CC=C(C=C1)C1=CC=CC=C1,198.085209992,-8.5639,0.534,4.01495,4.5489500000000005,0.2198309499994504,0.032601,-0.07634,6.0,-0.079406,-639.381062954564,1.40669,55.844,-0.08212293,-0.07599067,-0.1718052288,-0.02380207,-0.648482,-0.166366,22.55591258924295,1.5630085692645548
CC(=O)C1=CC=C(C=C1)B(O)O,164.064474548,-9.5739,-0.1162,4.84505,4.72885,0.21146790445880076,0.032253,-0.063185,6.0,-0.065738,-560.976884443537,2.00133,48.681,-0.06835296,-0.10180714,-0.1407042323,-0.01079302,-0.635181,-0.146096,22.597888798547608,1.5680190342310478
OB(O)C1=CC(=CC=C1)N(=O)=O,167.038988072,-9.9069,-0.4425,5.1747000000000005,4.7322,0.21131820295000212,-0.021304,-0.062108,6.0,-0.0678,-612.842633000231,6.42298,52.316,-0.07093186,-0.11022807,-0.0015351557,-0.01138928,-0.616422,-0.15032,22.66109675551051,1.564190423530543
OB(O)C1=CC=CC(F)=C1,140.044488052,-9.2909,0.7989,4.246,5.0449,0.1982199845388412,0.041213,-0.068113,6.0,-0.069219,-507.570920353105,0.69317,49.718,-0.07144819,0.01010054,-0.0639022668,-0.01334771,-0.625493,-0.148497,22.63596671975764,1.5663156164535559
NC1=CC=CC(=C1)B(O)O,137.064808896,-8.0096,1.2239,3.39285,4.616750000000001,0.21660258840093136,0.031107,-0.077196,6.0,-0.075896,-463.679480185107,1.33021,50.783,-0.07818095,-0.03234399,-0.1725461081,-0.01965297,-0.639741,-0.148827,22.702864127952953,1.563063479608017
OB(O)C1=C(F)C=CC=C1,140.044488052,-9.4094,0.8173,4.29605,5.11335,0.19556650727996325,-0.171124,-0.058009,6.0,-0.087794,-507.575965234276,1.27511,67.444,-0.09057135,-0.12313055,-0.3967860566,-0.02854971,-0.593079,-0.19938,23.85835848657318,1.569540497040201
OB(O)C1=CC=C(O)C=C1,138.048824484,-8.4126,1.5331,3.4397499999999996,4.972849999999999,0.20109192917542257,-0.070928,-0.086988,6.0,-0.094059,-483.546815752023,2.48674,63.595,-0.09720328,-0.14590925,-0.2028221043,-0.03615512,-0.65944,-0.185028,22.60046445318156,1.5522725211832464
OB(O)C1=CC=CO1,112.03317442,-8.8471,1.3266,3.7602499999999996,5.08685,0.19658531311125746,0.105252,-0.154733,6.0,-0.018107,-406.104253509605,1.22912,29.526,-0.02567429,-0.03876197,-0.0580261986,0.06309257,-0.234013,-0.004306,20.240607910183442,1.5453679511405163
OB(O)C1=CC=CC(=C1)C(F)(F)F,190.041294492,-9.6496,0.7503,4.44965,5.199949999999999,0.19230954143789847,-0.02988,-0.064421,6.0,-0.070785,-745.425921231868,4.73727,52.821,-0.07351358,-0.10872517,-0.0502203363,-0.01397695,-0.624292,-0.151422,22.6882455475981,1.5622283745737993
OB(O)C1=C(Cl)C=CC=C1,156.014937512,-9.3915,0.7041,4.3437,5.0478000000000005,0.1981061056301755,-0.053558,-0.072932,6.0,-0.074654,-867.927283387522,1.42794,55.805,-0.07895884,-0.10776201,-0.1583485981,-0.01965778,-0.582229,-0.169216,25.329266119421273,1.577654920719679
OB(O)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,289.127409152,-7.1975,1.059,3.06925,4.1282499999999995,0.24223339187306972,-0.059042,-0.081784,6.0,-0.090467,-925.793984816887,1.90504,61.249,-0.09379674,-0.25840704,-0.2161115754,-0.03279978,-0.664427,-0.177415,22.582643707606117,1.552696051590761
CC1=CC(=CC(C)=C1)B(O)O,150.085209992,-9.0442,1.0973,3.97345,5.07075,0.19720948577626582,0.143483,-0.078235,6.0,-0.079746,-486.951192920186,3.71463,47.443,-0.08220509,-0.07433813,-0.2198277401,-0.02628721,-0.6526,-0.167047,22.653996302195292,1.5714088564851472
OB(O)C1=CC=C(C=C1)N(=O)=O,167.038988072,-9.8944,-0.6597,5.277049999999999,4.61735,0.21657444205009366,-0.039035,-0.053871,6.0,-0.059554,-612.841988238138,7.33185,45.653,-0.06216715,-0.11197076,-0.1023621645,-0.00319371,-0.613976,-0.132986,22.67446231469209,1.5656604845343178
